Metric,Epoch,Mean,Std Dev
Accuracy_train,1,0.17883163193861643,0.0022898804289449974
Accuracy_train,2,0.33951638142267865,0.019170927865042254
Accuracy_train,3,0.602750321229299,0.034277386828634064
Accuracy_train,4,0.7637181679407755,0.029581560883077833
Accuracy_train,5,0.8348604838053385,0.02708913426700185
Accuracy_train,6,0.8695004185040792,0.024091787654980434
Accuracy_train,7,0.8960651954015096,0.016766162331670557
Accuracy_train,8,0.9125880797704061,0.011436855176839178
Accuracy_train,9,0.9244774182637533,0.007911063662886271
Accuracy_train,10,0.9352046251296997,0.005871266190092741
Accuracy_train,11,0.9418644507726034,0.007267510813297833
Accuracy_train,12,0.9477793176968893,0.0029100463765464823
Accuracy_train,13,0.9533813198407491,0.003219609353795563
Accuracy_train,14,0.9587151209513346,0.002945092713914325
Accuracy_train,15,0.9593855937321981,0.0016407734573300277
Accuracy_train,16,0.9633188843727112,0.0034081793451700964
Accuracy_train,17,0.9650248289108276,0.00037992000579833984
Accuracy_train,18,0.9669691324234009,0.001117408275604248
Accuracy_validation,1,0.1663702130317688,0.0007309853364320228
Accuracy_validation,2,0.4229811429977417,0.04354647324245565
Accuracy_validation,3,0.6475750009218851,0.03509741821969294
Accuracy_validation,4,0.748962422211965,0.022621479374675894
Accuracy_validation,5,0.7988853454589844,0.031149329226331374
Accuracy_validation,6,0.8287679155667623,0.0233102979954152
Accuracy_validation,7,0.8456065654754639,0.012469698251016537
Accuracy_validation,8,0.8498755097389221,0.025089497357439587
Accuracy_validation,9,0.8637495636940002,0.009926924975934243
Accuracy_validation,10,0.8598363598187765,0.012846276132388257
Accuracy_validation,11,0.8759634693463644,0.013094562612355691
Accuracy_validation,12,0.8731175065040588,0.005582149184114539
Accuracy_validation,13,0.8779793580373129,0.006566041808689709
Accuracy_validation,14,0.8767935633659363,0.0066827924151530715
Accuracy_validation,15,0.8680184880892435,0.005518824988405415
Accuracy_validation,16,0.8776236176490784,0.0028011581299237785
Accuracy_validation,17,0.87815722823143,0.0048025548458099365
Accuracy_validation,18,0.8817147016525269,0.005869805812835693
Loss_train,1,2.2246216932932534,0.003422042108210105
Loss_train,2,1.8158948024113972,0.058860159256507186
Loss_train,3,1.1144846280415852,0.09614583273081055
Loss_train,4,0.6777176459630331,0.07254242590432343
Loss_train,5,0.4815426965554555,0.06734901324361733
Loss_train,6,0.3783724904060364,0.06262263547494987
Loss_train,7,0.30449586113293964,0.045574183004027505
Loss_train,8,0.2552383591731389,0.03136770307855642
Loss_train,9,0.22185695668061575,0.02333030611523052
Loss_train,10,0.1870085448026657,0.017107027232920485
Loss_train,11,0.1707039326429367,0.018671768506725295
Loss_train,12,0.15191412468751272,0.009043939955714933
Loss_train,13,0.1350970764954885,0.010012152564190758
Loss_train,14,0.12014858176310857,0.007050125268883813
Loss_train,15,0.11577522257963817,0.005150062457501665
Loss_train,16,0.10556451479593913,0.008151965066969975
Loss_train,17,0.09949560835957527,0.0037670619785785675
Loss_train,18,0.09404263272881508,0.003596995025873184
Loss_validation,1,2.3052761554718018,0.008240556739130529
Loss_validation,2,1.5771764119466145,0.11594726341134784
Loss_validation,3,1.0218170881271362,0.10523478822765811
Loss_validation,4,0.732779304186503,0.07045728844220753
Loss_validation,5,0.5834594964981079,0.08470410433730095
Loss_validation,6,0.5221835772196451,0.050323675637421884
Loss_validation,7,0.46718500057856244,0.02224966387672915
Loss_validation,8,0.4770180781682332,0.068139724287033
Loss_validation,9,0.4373055597146352,0.022175317546799425
Loss_validation,10,0.46350053946177167,0.039810389656297185
Loss_validation,11,0.4263521134853363,0.03115583374476015
Loss_validation,12,0.4351685841878255,0.02866082086555836
Loss_validation,13,0.4343053499857585,0.0367386662671398
Loss_validation,14,0.45238996545473736,0.026224850587504168
Loss_validation,15,0.48875361680984497,0.016169618924739927
Loss_validation,16,0.4844918449719747,0.039205652810188237
Loss_validation,17,0.4948316067457199,0.003832980990409851
Loss_validation,18,0.472123920917511,0.026974260807037354
hparam_accuracy,0,0.87928573290507,0.01013932743465808
hparam_loss,0,0.4888210693995158,0.057895469872668054
