Metric,Epoch,Mean,Std Dev
Accuracy_train,1,0.11921926587820053,0.005786175825117702
Accuracy_train,2,0.3210730155309041,0.006386793174381681
Accuracy_train,3,0.5776241223017374,0.03742023836338169
Accuracy_train,4,0.7273143529891968,0.02893374949029222
Accuracy_train,5,0.8021676341692606,0.02370148943302599
Accuracy_train,6,0.8467297752698263,0.018985311891628203
Accuracy_train,7,0.8718388875325521,0.014514085207987616
Accuracy_train,8,0.8907197515169779,0.012575627668056
Accuracy_train,9,0.9032252828280131,0.011086829720094612
Accuracy_train,10,0.9147826631863912,0.011256461873601058
Accuracy_train,11,0.923626442750295,0.008438334483283287
Accuracy_train,12,0.9299854437510172,0.007715365465782441
Accuracy_train,13,0.9356905817985535,0.009430257597892558
Accuracy_train,14,0.9412976503372192,0.005803601796428286
Accuracy_train,15,0.9451882441838583,0.004564138822176861
Accuracy_train,16,0.9482614795366923,0.004495941872426734
Accuracy_train,17,0.9524627129236857,0.004149776819298358
Accuracy_train,18,0.955012838045756,0.0045525367337007645
Accuracy_train,19,0.9639546871185303,0.0
Accuracy_validation,1,0.16690190633138022,0.040829007843619376
Accuracy_validation,2,0.46212656299273175,0.018818373961277474
Accuracy_validation,3,0.6369089484214783,0.04837890792880812
Accuracy_validation,4,0.733709712823232,0.02262943350255513
Accuracy_validation,5,0.7955775062243143,0.023287454403522295
Accuracy_validation,6,0.8155728181203207,0.008494679241477893
Accuracy_validation,7,0.8308633168538412,0.010357198735177191
Accuracy_validation,8,0.8452128767967224,0.006634822113767243
Accuracy_validation,9,0.8565043409665426,0.00950898922882064
Accuracy_validation,10,0.8637967507044474,0.01019429583224373
Accuracy_validation,11,0.8610915144284567,0.0029428472653597625
Accuracy_validation,12,0.8715596397717794,0.0032722565065633844
Accuracy_validation,13,0.8741472760836283,0.008494697948243202
Accuracy_validation,14,0.8714420199394226,0.00859665838321488
Accuracy_validation,15,0.867090086142222,0.015817934873242262
Accuracy_validation,16,0.8708539207776388,0.01856673011278327
Accuracy_validation,17,0.8762644131978353,0.005392583914373563
Accuracy_validation,18,0.8819101254145304,0.006916578509210827
Accuracy_validation,19,0.8849682211875916,0.0
Loss_train,1,2.3577961921691895,0.009586054909206361
Loss_train,2,1.8284095128377278,0.02237083525887255
Loss_train,3,1.1723025639851887,0.10372706194230273
Loss_train,4,0.7729878425598145,0.07760351247898595
Loss_train,5,0.5744914809862772,0.061039915736242296
Loss_train,6,0.45664046208063763,0.0524400860424285
Loss_train,7,0.37790127595265705,0.03759771824665397
Loss_train,8,0.3226004938284556,0.032782697190506964
Loss_train,9,0.28191158672173816,0.03251270158506198
Loss_train,10,0.25077815850575763,0.03246837765910812
Loss_train,11,0.22634759545326233,0.024404873515051002
Loss_train,12,0.20617792507012686,0.021585218516366488
Loss_train,13,0.18774585922559103,0.025202055261407313
Loss_train,14,0.17305657267570496,0.017478613661270796
Loss_train,15,0.1603937347730001,0.015503967242894294
Loss_train,16,0.15058960020542145,0.01379352763667095
Loss_train,17,0.1388596072793007,0.013493849746380425
Loss_train,18,0.13174771269162497,0.011062288249360673
Loss_train,19,0.10734770447015762,0.0
Loss_validation,1,2.3178020318349204,0.2566942349731446
Loss_validation,2,1.4736276070276897,0.08555819546435284
Loss_validation,3,1.009390930334727,0.16941665670565725
Loss_validation,4,0.7549246152242025,0.053962674478842225
Loss_validation,5,0.6123055219650269,0.07811116624669387
Loss_validation,6,0.566187342007955,0.026802492941017532
Loss_validation,7,0.5070871909459432,0.022947762071520952
Loss_validation,8,0.4695478181044261,0.012384740164172523
Loss_validation,9,0.4681570827960968,0.03577259821621832
Loss_validation,10,0.44829246401786804,0.01922460577715088
Loss_validation,11,0.4628518919150035,0.028652445410187723
Loss_validation,12,0.4355432291825612,0.02191221007302671
Loss_validation,13,0.4280210832754771,0.016980693546982124
Loss_validation,14,0.4618099629878998,0.03199015213680267
Loss_validation,15,0.4793783624966939,0.0473618307218593
Loss_validation,16,0.48178436358769733,0.05758544095344721
Loss_validation,17,0.46659870942433673,0.033797806349816176
Loss_validation,18,0.4683922628561656,0.027995576504230856
Loss_validation,19,0.4859507977962494,0.0
hparam_accuracy,0,0.8895973563194275,0.011940445741829845
hparam_loss,0,0.4405627449353536,0.01010466575679457
