epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy,test_balanced_accuracy
1,1.3277898767266016,64.44200884643989,1.064966907776962,66.71079729332156,91.74835405998537,76.2229232788086
2,0.9164485577050974,71.30582847301052,0.7357506891973665,74.99264489555752,91.74835405998537,76.2229232788086
3,0.6536554138785757,78.97796218734098,0.5386493670989141,82.11238599588114,91.74835405998537,76.2229232788086
4,0.5026370349604734,84.02552158766196,0.4387904153788619,85.83406884377757,91.74835405998537,76.2229232788086
5,0.4162365353860903,86.77926958155557,0.387067495714699,87.67284495439836,91.74835405998537,76.2229232788086
6,0.3537311219564815,88.9869652013935,0.3487790157043627,89.64401294498381,91.74835405998537,76.2229232788086
7,0.3118142355909484,90.45680510431752,0.3165488592523072,89.87937628714327,91.74835405998537,76.2229232788086
8,0.2774447069896177,91.51759502094178,0.2983276067197183,90.93851132686083,91.74835405998537,76.2229232788086
9,0.2513639832682469,92.36700982502838,0.2834419052543066,91.2621359223301,91.74835405998537,76.2229232788086
10,0.2278316689349795,93.09703683407054,0.2702993722610767,91.40923801117977,91.74835405998537,76.2229232788086
