epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy,test_balanced_accuracy
1,1.24483262162383,65.74047605435176,0.9620853939034916,70.87679729348746,92.28719674659935,76.76158905029297
2,0.8002227843534656,74.62695100337316,0.6173541163270538,79.15139554553143,92.28719674659935,76.76158905029297
3,0.5595151495279336,82.16034913193452,0.4569068592847199,85.72032703693262,92.28719674659935,76.76158905029297
4,0.4437120018572342,86.06902597526347,0.3860090241373122,88.10262193402876,92.28719674659935,76.76158905029297
5,0.372159126455464,88.47407238008118,0.3371379873169972,89.25852833380321,92.28719674659935,76.76158905029297
6,0.3243604545004484,90.09967030663388,0.3082610906462545,90.23118127995488,92.28719674659935,76.76158905029297
7,0.2892177807666906,91.32696815505116,0.2856123841929812,91.00648435297435,92.28719674659935,76.76158905029297
8,0.2612746571077079,92.04162140529417,0.2690425216144806,91.85226952354104,92.28719674659935,76.76158905029297
9,0.236818395146146,92.9335086615974,0.2547164396508722,91.96504087961658,92.28719674659935,76.76158905029297
10,0.218568225868228,93.37182932174642,0.2462665178888552,92.37383704539047,92.28719674659935,76.76158905029297
