epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,2.9111512098204955,19.53066896308764,2.152438779857671,50.05884083553986,88.5003657644477
2,1.8339492206430257,49.56746389008494,1.266220884902455,70.46190055898794,88.5003657644477
3,1.209797685599894,67.19967119426938,0.8630836182665602,79.28802588996764,88.5003657644477
4,0.8979657682519084,75.7916780835323,0.6757714964240511,83.2597822889085,88.5003657644477
5,0.7290478001100399,80.1737973147532,0.5748366312445882,85.3045013239188,88.5003657644477
6,0.623585892969437,83.06650487337065,0.511475216353608,86.37834657252132,88.5003657644477
7,0.5504485365744676,84.87689356871648,0.4765452905166372,87.26095910561929,88.5003657644477
8,0.495108347400109,86.52092222178729,0.436207722976943,87.96704913209767,88.5003657644477
9,0.4525674479140507,87.58171213841156,0.4089382217204738,88.55545748749633,88.5003657644477
10,0.4116827656837816,88.71491760284965,0.3912745061913661,89.04089438070021,88.5003657644477
