epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_accuracy
1,2.94685935586206,18.855442909147847,2.1963639682698477,45.61635775228009,89.34893928310169
2,1.86341490465052,49.19755744314401,1.2847420695786165,71.52103559870551,89.34893928310169
3,1.2125644734565248,67.18009942458997,0.8522726433856465,79.4792586054722,89.34893928310169
4,0.8912216632327389,75.60574627157789,0.6634890303433498,83.33333333333334,89.34893928310169
5,0.7233044392474751,80.36364348064352,0.567329380347907,85.49573403942335,89.34893928310169
6,0.6163153297387912,83.1252201824089,0.5000755645543615,86.77552221241541,89.34893928310169
7,0.5397014224409908,85.227228245978,0.463058867779012,87.54045307443366,89.34893928310169
8,0.4876066268572073,86.59138059263319,0.4293399172199664,88.1729920564872,89.34893928310169
9,0.4432262185592675,87.89877480721808,0.4007759380424134,89.11444542512503,89.34893928310169
10,0.4073613258043726,88.86953458331702,0.3819069798304655,89.49691085613416,89.34893928310169
